"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","Y"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1
91.56786232,96.62190102,98.08459941,96.54390935,91.67888112,96.33791817,96.125,94.01595745,94.40920128,97.08418325,96.35173059,95.62045018,98.07571025,96.47058824,99.11111111,99.32747384,94.72602319,92.51316309,95.33057471,96.48788673,105.8576285,97.45898305,96.97133586,94.38973336,94.06452838,98.72004763,100.8000295,95.62647706,92.33753084,92.35279164,100,95.4483464,98.63481477,97.95078864,96.02653217,99.17329144,96.61181302,96.8313377,94.54584746,96.0038059,90.37992868,98.23595823,95.9008,100,96.83322518,91.9858156,103.3975309,99.855094,101.4061655,94.52359551,96.35224779,94.84340807,98.89725791,93.2761881,97.79116466,105.3658537,98.02856246,93.23102661,96.2513526,92.97580563,94.88875876,96.2242932,95.4887218,100,101.8181818,97.40817901,101.5544533,98.8475449,97.89725712,93.05549607,96.37036364,92.98907555,96.77790564,94.76969733,101.0992025,98.06905097,98.93221438,97.07,91.61104536,102.4592787,99.12031151,98.71465296,95.66349257,94.13345849,100,100,104.2069219,98.90311107,98.18512324,97.2181552,97.29271382,96.88888889,95.49902153,97.45797125,99.28229665,101.2966978,98.31067796,100.4891341,99.60223361,93.26315789,-1
92.90859973,97.64075269,103.1123983,98.13031161,78.04195804,97.69384302,95.625,95.74468085,94.08971246,96.65522927,94.29373246,100.1042351,96.03498912,97.84313725,101.2224,101.9431988,94.2474075,90.10674855,96.12068966,100.1848316,110.2511042,95.08610169,102.3255814,94.10064167,95.09678432,98.48191695,100.267291,96.09929914,91.46471309,95.5305221,105.9782609,94.66984885,98.4072839,99.52807571,98.80690006,104.6280869,98.57399538,98.78770708,100,97.90675547,87.24294891,97.24280271,94,106.0639992,98.09863725,92.90780142,103.7037037,99.855094,103.8714621,96.13707865,94.22455673,94.50690583,99.72431448,89.31301167,94.07646586,116.9512195,97.31225854,99.73297301,97.08610295,90.70994239,95.06914903,93.64075427,94.73684211,104.5192113,105.1515152,100.4241285,106.606308,93.48372464,98.49832702,89.07407804,97.44631589,89.83691555,97.01660138,92.00094524,106.3187904,96.2759028,101.7057278,97.265,93.42244945,105.4100984,98.53374186,101.6711568,93.49510009,94.39798618,100.8263736,97.17677419,111.3407525,101.9194094,97.64036983,99.41434846,95.09317151,97.33333333,96.37980431,93.39722245,100.4784689,101.1799533,98.14162413,96.08483893,99.20446722,86.42105263,1
84.86917805,94.36989223,109.0182167,102.2096317,73.3572028,100.6768777,96.9166,93.08510638,98.24306709,98.11334347,95.32273152,98.43591495,100.5246876,101.7647059,101.3333333,106.1285501,92.23323311,93.58289456,90.51724138,101.5711469,106.9038395,99.3220339,101.4602488,92.53895427,101.6772094,102.6640869,98.39994101,102.4822617,92.72559477,97.11938733,110.1449275,101.1080805,105.1192626,98.10725552,106.7538357,97.52040325,99.82032342,101.3971937,99.48134849,100.7611798,78.11085222,98.78633926,98.4992,107.1538768,101.6482803,90.88652482,105.5555556,105.9513636,105.6336759,98.06966292,101.519568,94.17040359,102.2104071,93.13464609,93.87566265,112.195122,98.92490341,104.1566129,97.08610295,86.25375079,98.13590411,95.62799132,96.2406015,110.0961173,105.1515152,103.2516518,108.549256,98.8475449,102.1017411,90.74060193,98.52113315,86.63034665,97.13604862,97.53844942,106.5937714,100.6895833,100.8528639,97.07,94.18508169,106.0658361,100.0977616,106.1696658,89.24546158,101.5999659,105.221978,105.2412903,111.7198647,104.1131872,97.45917253,110.8345534,97.46179151,101.9259259,95.98841487,94.41240965,100.9569378,99.28702468,102.0270243,100.3262634,103.9853132,77.51317895,1
88.88888889,95.60322093,108.4596859,103.1161473,77.83272727,104.6773984,100.875,93.61702128,100,99.82854191,102.525725,98.12302349,108.6879452,108.627451,107.7777778,107.922272,96.35669142,90.64161429,94.25287356,110.9056906,104.3934758,104.4067797,98.21525149,97.97561784,100.516128,114.0645929,101.0673205,103.0732893,106.8865043,108.0428358,122.4637681,116.53597,107.053457,100.6309148,109.0722218,99.50386908,106.7735219,98.97409898,99.48134849,108.1826832,83.65279406,104.0784646,102.4,110.264258,101.1421155,90.14184397,105.8666667,105.2249758,109.5051379,104.5640449,105.4711351,96.41255605,106.6312214,93.48906729,99.49815261,111.7073171,102.8677785,116.1535244,98.33822847,88.06646581,105.3517731,96.89992764,95.4887218,110.4807482,107.7275152,105.5609467,111.399008,112.2601606,104.2034822,93.74991077,99.32809734,92.71738667,104.4151756,100,108.5164736,99.58659742,106.3964794,98.2425,98.76087514,106.3937049,103.0304439,109.6403085,93.66856039,100.2645277,106.043956,103.6283871,114.6508499,113.7108191,97.64036983,111.2737921,102.5379531,102.0740741,102.1526419,105.5794689,106.937799,101.6511007,103.8849948,106.6881392,108.5252046,85.73684211,1
87.32552904,96.30018548,106.9431994,102.7195467,77.41314685,102.1694798,100.75,94.94680851,97.12460064,98.11334347,100.3741815,97.60166181,108.1632577,108.2352941,104.5557333,105.0822123,96.93195067,102.2726179,98.56321839,107.5785652,120.2928984,100.3389831,102.4878313,101.6194317,96.77399376,112.0851317,101.8673499,101.8912612,105.1407058,114.5969049,121.9202899,131.7422434,108.4186422,101.1053628,108.3432229,99.17329144,110.6950347,99.90605848,101.1686282,103.9010466,88.88109369,104.6306097,103.4016,108.7090674,105.4510058,90.31914894,101.545679,107.6930222,111.6188931,106.741573,104.863012,99.327713,107.7339635,95.54086035,102.2088353,105.8536585,100.5375483,128.1504359,97.50347813,85.80060257,103.4275442,98.29108075,96.2406015,107.6922952,107.2727273,102.8747995,111.2694307,114.5589407,100.9006031,96.7592196,101.3438053,98.58679108,102.3865599,98.4620232,107.6922522,99.3104167,115.7779825,96.9725,102.5740363,106.3937049,105.6696753,106.0413368,91.84736604,102.3978155,108.2417582,104.8387097,113.6317313,112.4314079,95.64429577,108.4919473,97.96953537,98.51851852,104.109589,117.7617153,105.7416268,100.4711474,107.7699895,101.9575805,107.8864836,91.80261053,-1
82.85807194,93.83369966,108.2201332,100.7932011,74.68531469,102.0328025,101.1666,93.88297872,95.20766773,95.79773297,99.15809167,96.14181187,109.8541249,108.0392157,108.1112889,104.1107324,94.43916058,92.91423218,103.0891954,107.6709028,121.5480803,99.66101695,102.8664143,98.5539863,94.96754587,112.3232624,102.9346704,100.5910276,103.6857921,105.5610283,122.6449275,119.6954199,110.4664201,103.4700315,106.4889379,99.66942236,109.9820323,99.0680405,106.2337921,104.2816365,80.55072538,103.8579594,101.0016,107.1538768,102.4107722,86.24113475,98.14814815,108.5633871,112.6735172,102.9505618,100.3038149,96.63713004,107.458278,96.03682357,102.711004,103.0487805,99.64184804,118.0967088,98.33822847,78.54980356,101.8039715,99.20514877,98.87518797,105.7691405,106.5153939,101.8378902,109.8445547,109.1951205,104.8045521,96.7592196,98.79012121,95.86954666,99.64185702,96.9240464,106.8680307,99.17261584,124.5181319,95.1175,95.51999317,106.7215738,103.0304439,104.3701799,94.62273079,114.3996928,107.1428571,105.6464516,112.1030533,113.5282968,96.91441912,106.8814056,95.60065996,97.48148148,103.0334247,114.4643872,105.5023923,102.2431621,106.5878289,105.7093489,105.0982942,83.65793684,1
77.88783831,90.7774878,106.623966,98.86685552,71.11944056,101.4904326,101.625,88.96276596,97.92357827,96.39793921,97.38072965,94.89043215,109.1544171,110,109.4446222,102.690583,93.67214825,96.65765063,104.8850575,110.0738702,112.761468,98.81491525,103.7317469,96.06709444,95.99980181,111.2814407,103.4674089,103.7824953,103.7828081,100.9930408,121.3768116,118.6441641,107.7360496,108.0454259,106.7538357,99.50386908,116.7555543,100.3727838,102.5982446,102.7592769,77.09999186,104.8511149,103.2992,107.1538768,102.6638546,83.86524823,104.9382716,106.3860816,110.9113034,102.8089888,106.078765,94.95533632,106.3555359,95.54086035,103.4136546,99.75609756,97.6704105,113.2709198,95.83397743,72.65857135,104.870718,98.6883974,103.0075188,106.1537714,108.3335758,103.8644327,111.1400907,113.4064856,104.2034822,97.49985723,96.10137558,95.76072887,102.5058084,96.30767413,108.7914547,97.24166681,129.6353154,91.65,95.04289044,107.5409836,102.248351,106.1696658,93.66856039,110.6664391,107.4197802,105.6464516,108.0265786,111.1514116,96.73322183,106.0029283,98.64635691,99.55555556,101.7612524,114.7161537,101.4354067,101.1799533,101.6889166,98.53155359,105.1786124,75.27629474,1
86.4325379,92.49330403,109.0981528,99.71671388,73.77678322,101.288671,102.5,86.96808511,103.3548882,97.85605342,97.47427502,92.70075031,107.2885296,115.6862745,107.6668444,104.7086398,95.30128244,102.1388212,104.6696552,110.5360273,116.5273528,97.62711864,102.3255814,98.26489461,98.19355212,114.7641018,104.2674384,105.082729,101.4549137,106.1568528,126.0869565,125.1903625,110.693951,106.7835962,106.7538357,97.52040325,119.0713858,102.1427613,103.8965357,101.5223597,79.81870766,105.6220011,104.4,105.7529611,110.0129786,88.08510638,101.545679,108.2735751,111.6188931,106.6719101,112.7656531,93.94654709,107.458278,95.68240236,104.1166265,100.7317073,96.59531391,124.5310942,99.17297882,77.71898093,107.7570656,99.20514877,101.8827068,105.3845095,107.2727273,104.0528589,112.0466573,121.069086,107.5073631,98.10182607,97.58024243,93.91295999,101.3125284,96.00047262,107.4179929,97.37946767,128.1445093,89.355,100.0957866,108.852459,103.1282055,107.3266838,95.75008395,111.9976107,106.3208791,107.6619355,108.0265786,111.0601505,97.09619718,110.2489019,101.18431,108.5925926,106.947319,115.227808,100.2392344,101.1799533,108.9525555,99.83660728,107.2515872,73.02635789,1
89.72684977,96.30018548,106.9431994,96.37393768,71.88811189,101.6271098,100.5416,89.09574468,106.5497764,101.4581142,96.6323667,93.95194389,109.1544171,116.8627451,108.5557333,104.0358744,95.01441983,104.41176,118.4627586,109.0572181,112.3431871,98.13694915,103.569497,99.53730523,103.9997853,114.6450365,102.6673794,109.6926629,104.267725,108.5401506,127.7173913,122.3036709,111.9451887,107.5709779,105.4293464,94.21462687,127.2709124,102.8883289,106.6244431,103.9961941,78.31998421,105.6220011,102.0992,109.4854185,107.2258274,94.0070922,101.2345679,106.9666345,111.6188931,110.2539326,113.0699613,97.08556054,109.117314,96.9562805,101.706988,110.9756098,98.92490341,123.8619181,97.50347813,76.13293162,109.741436,101.4308194,105.2631579,103.6537512,105.3032727,104.8067897,112.9534613,126.0528413,105.7051552,101.7129253,97.58024243,97.82595553,98.8065213,96.9240464,106.0438093,96.55208351,130.0617473,96.095,101.1439484,109.1803279,102.3461126,106.812545,95.92354425,112.5309327,106.043956,107.6619355,108.7929559,112.7051914,94.91834506,109.5168375,105.9220608,110.8148148,105.6751468,117.7617153,97.1291866,100.7088059,110.6418775,100.3262634,102.7881894,74.31578947,1
